Make,Model,Year,Total,Pass,Pass %,Fail,Fail %,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,area11,area12,area13,area14,area15,area16,area17,area18,area19,area20,area21,area22,area23,area24,area25,area26,Incomplete,Incomplete %
FORD,MONDEO,2000.00,83.00,17.00,20.50,66.00,79.50,16.00,19.30,19.00,22.90,33.00,39.80,22.00,26.50,8.00,9.60,9.00,10.80,26.00,31.30,25.00,30.10,8.00,9.60,5.00,6.00,25.00,30.10,7.00,8.40,0.00,0.00,0.00,0.00
FORD,MONDEO,2001.00,190.00,58.00,30.50,132.00,69.50,31.00,16.30,58.00,30.50,57.00,30.00,45.00,23.70,32.00,16.80,17.00,8.90,23.00,12.10,33.00,17.40,20.00,10.50,8.00,4.20,62.00,32.60,22.00,11.60,3.00,1.60,0.00,0.00
FORD,MONDEO,2002.00,330.00,113.00,34.20,217.00,65.80,46.00,13.90,87.00,26.40,68.00,20.60,85.00,25.80,52.00,15.80,22.00,6.70,30.00,9.10,30.00,9.10,37.00,11.20,16.00,4.80,102.00,30.90,29.00,8.80,2.00,0.60,0.00,0.00
FORD,MONDEO,2003.00,445.00,115.00,25.80,330.00,74.20,76.00,17.10,126.00,28.30,100.00,22.50,114.00,25.60,78.00,17.50,40.00,9.00,38.00,8.50,53.00,11.90,43.00,9.70,36.00,8.10,134.00,30.10,70.00,15.70,2.00,0.40,0.00,0.00
FORD,MONDEO,2004.00,820.00,228.00,27.80,592.00,72.20,130.00,15.90,277.00,33.80,203.00,24.80,184.00,22.40,178.00,21.70,72.00,8.80,44.00,5.40,112.00,13.70,90.00,11.00,67.00,8.20,234.00,28.50,101.00,12.30,4.00,0.50,1.00,0.10
FORD,MONDEO,2005.00,1226.00,380.00,31.00,846.00,69.00,135.00,11.00,428.00,34.90,335.00,27.30,339.00,27.70,222.00,18.10,81.00,6.60,54.00,4.40,167.00,13.60,154.00,12.60,80.00,6.50,365.00,29.80,124.00,10.10,2.00,0.20,0.00,0.00
FORD,MONDEO,2006.00,1386.00,436.00,31.50,950.00,68.50,167.00,12.00,470.00,33.90,318.00,22.90,378.00,27.30,219.00,15.80,94.00,6.80,53.00,3.80,138.00,10.00,183.00,13.20,92.00,6.60,399.00,28.80,131.00,9.50,5.00,0.40,0.00,0.00
FORD,MONDEO,2007.00,2454.00,945.00,38.50,1509.00,61.50,262.00,10.70,745.00,30.40,537.00,21.90,272.00,11.10,348.00,14.20,137.00,5.60,67.00,2.70,383.00,15.60,157.00,6.40,254.00,10.40,312.00,12.70,211.00,8.60,16.00,0.70,0.00,0.00
FORD,MONDEO,2008.00,4818.00,1879.00,39.00,2939.00,61.00,519.00,10.80,1221.00,25.30,1231.00,25.60,218.00,4.50,733.00,15.20,288.00,6.00,138.00,2.90,1067.00,22.10,387.00,8.00,514.00,10.70,302.00,6.30,385.00,8.00,27.00,0.60,3.00,0.10
FORD,MONDEO,2009.00,1335.00,562.00,42.10,773.00,57.90,126.00,9.40,287.00,21.50,339.00,25.40,61.00,4.60,174.00,13.00,81.00,6.10,23.00,1.70,277.00,20.70,150.00,11.20,133.00,10.00,55.00,4.10,120.00,9.00,8.00,0.60,0.00,0.00
FORD,MONDEO,2010.00,2839.00,1374.00,48.40,1465.00,51.60,216.00,7.60,536.00,18.90,517.00,18.20,106.00,3.70,324.00,11.40,144.00,5.10,41.00,1.40,468.00,16.50,135.00,4.80,237.00,8.30,95.00,3.30,232.00,8.20,13.00,0.50,2.00,0.10
FORD,MONDEO,2011.00,766.00,408.00,53.30,358.00,46.70,45.00,5.90,140.00,18.30,142.00,18.50,14.00,1.80,84.00,11.00,42.00,5.50,13.00,1.70,131.00,17.10,26.00,3.40,62.00,8.10,13.00,1.70,17.00,2.20,2.00,0.30,0.00,0.00
FORD,MONDEO,2012.00,2021.00,1169.00,57.80,852.00,42.20,98.00,4.80,248.00,12.30,356.00,17.60,48.00,2.40,228.00,11.30,65.00,3.20,23.00,1.10,339.00,16.80,12.00,0.60,161.00,8.00,36.00,1.80,22.00,1.10,2.00,0.10,0.00,0.00
FORD,MONDEO,2013.00,446.00,311.00,69.70,135.00,30.30,19.00,4.30,31.00,7.00,41.00,9.20,14.00,3.10,30.00,6.70,4.00,0.90,2.00,0.40,42.00,9.40,0.00,0.00,32.00,7.20,7.00,1.60,8.00,1.80,0.00,0.00,0.00,0.00
FORD,MONDEO,2014.00,1585.00,1218.00,76.80,367.00,23.20,56.00,3.50,88.00,5.60,53.00,3.30,18.00,1.10,120.00,7.60,8.00,0.50,4.00,0.30,43.00,2.70,3.00,0.20,98.00,6.20,16.00,1.00,14.00,0.90,2.00,0.10,0.00,0.00
FORD,MONDEO,2015.00,256.00,215.00,84.00,41.00,16.00,6.00,2.30,22.00,8.60,1.00,0.40,2.00,0.80,11.00,4.30,0.00,0.00,3.00,1.20,1.00,0.40,1.00,0.40,5.00,2.00,2.00,0.80,2.00,0.80,1.00,0.40,0.00,0.00
FORD,MONDEO,2016.00,57.00,47.00,82.50,10.00,17.50,3.00,5.30,4.00,7.00,1.00,1.80,1.00,1.80,1.00,1.80,0.00,0.00,0.00,0.00,1.00,1.80,1.00,1.80,1.00,1.80,0.00,0.00,1.00,1.80,0.00,0.00,0.00,0.00
FORD,MONDEO,2017.00,17.00,16.00,94.10,1.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,5.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,MONDEO,2018.00,3.00,2.00,66.70,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,MONDEO LX,2005.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,MONDEO LX,2008.00,7.00,2.00,28.60,5.00,71.40,1.00,14.30,1.00,14.30,3.00,42.90,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00,3.00,42.90,0.00,0.00,1.00,14.30,1.00,14.30,1.00,14.30,0.00,0.00,0.00,0.00
FORD,MONDEO LX,2009.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,MONDEO LX,2010.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,ORION,1989.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,ORION,1990.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,ORION,1992.00,2.00,0.00,0.00,2.00,100.00,0.00,0.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00
FORD,ORION,1993.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1986.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1989.00,3.00,2.00,66.70,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1993.00,3.00,1.00,33.30,2.00,66.70,2.00,66.70,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00
FORD,OTHER,1994.00,2.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1995.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1996.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1997.00,5.00,3.00,60.00,2.00,40.00,0.00,0.00,2.00,40.00,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,2.00,40.00,0.00,0.00
FORD,OTHER,1998.00,9.00,3.00,33.30,6.00,66.70,4.00,44.40,1.00,11.10,2.00,22.20,0.00,0.00,3.00,33.30,1.00,11.10,1.00,11.10,2.00,22.20,0.00,0.00,2.00,22.20,1.00,11.10,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,1999.00,3.00,0.00,0.00,3.00,100.00,1.00,33.30,1.00,33.30,1.00,33.30,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00
FORD,OTHER,2000.00,3.00,1.00,33.30,2.00,66.70,1.00,33.30,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2001.00,6.00,0.00,0.00,6.00,100.00,4.00,66.70,2.00,33.30,2.00,33.30,1.00,16.70,1.00,16.70,1.00,16.70,4.00,66.70,1.00,16.70,1.00,16.70,1.00,16.70,1.00,16.70,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2002.00,73.00,21.00,28.80,52.00,71.20,24.00,32.90,21.00,28.80,17.00,23.30,13.00,17.80,10.00,13.70,6.00,8.20,16.00,21.90,12.00,16.40,4.00,5.50,5.00,6.80,21.00,28.80,11.00,15.10,1.00,1.40,0.00,0.00
FORD,OTHER,2003.00,239.00,89.00,37.20,150.00,62.80,44.00,18.40,67.00,28.00,41.00,17.20,42.00,17.60,37.00,15.50,17.00,7.10,21.00,8.80,22.00,9.20,25.00,10.50,13.00,5.40,49.00,20.50,26.00,10.90,1.00,0.40,0.00,0.00
FORD,OTHER,2004.00,107.00,40.00,37.40,67.00,62.60,31.00,29.00,24.00,22.40,15.00,14.00,20.00,18.70,13.00,12.10,4.00,3.70,26.00,24.30,7.00,6.50,9.00,8.40,7.00,6.50,23.00,21.50,10.00,9.30,0.00,0.00,0.00,0.00
FORD,OTHER,2005.00,50.00,19.00,38.00,31.00,62.00,12.00,24.00,9.00,18.00,8.00,16.00,8.00,16.00,5.00,10.00,2.00,4.00,14.00,28.00,3.00,6.00,2.00,4.00,3.00,6.00,9.00,18.00,1.00,2.00,1.00,2.00,0.00,0.00
FORD,OTHER,2006.00,46.00,16.00,34.80,30.00,65.20,15.00,32.60,15.00,32.60,7.00,15.20,5.00,10.90,3.00,6.50,3.00,6.50,7.00,15.20,5.00,10.90,4.00,8.70,2.00,4.30,6.00,13.00,3.00,6.50,0.00,0.00,0.00,0.00
FORD,OTHER,2007.00,57.00,22.00,38.60,35.00,61.40,10.00,17.50,19.00,33.30,8.00,14.00,2.00,3.50,6.00,10.50,6.00,10.50,6.00,10.50,6.00,10.50,2.00,3.50,4.00,7.00,5.00,8.80,6.00,10.50,0.00,0.00,0.00,0.00
FORD,OTHER,2008.00,37.00,20.00,54.10,17.00,45.90,6.00,16.20,3.00,8.10,1.00,2.70,2.00,5.40,1.00,2.70,1.00,2.70,2.00,5.40,1.00,2.70,0.00,0.00,2.00,5.40,3.00,8.10,1.00,2.70,2.00,5.40,1.00,2.70
FORD,OTHER,2009.00,6.00,1.00,16.70,5.00,83.30,1.00,16.70,2.00,33.30,2.00,33.30,1.00,16.70,1.00,16.70,0.00,0.00,1.00,16.70,2.00,33.30,0.00,0.00,0.00,0.00,1.00,16.70,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2010.00,6.00,3.00,50.00,3.00,50.00,3.00,50.00,0.00,0.00,1.00,16.70,0.00,0.00,1.00,16.70,1.00,16.70,1.00,16.70,1.00,16.70,0.00,0.00,0.00,0.00,0.00,0.00,1.00,16.70,0.00,0.00,0.00,0.00
FORD,OTHER,2011.00,5.00,3.00,60.00,2.00,40.00,0.00,0.00,3.00,60.00,1.00,20.00,0.00,0.00,1.00,20.00,0.00,0.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2012.00,11.00,4.00,36.40,7.00,63.60,0.00,0.00,3.00,27.30,1.00,9.10,1.00,9.10,1.00,9.10,1.00,9.10,0.00,0.00,0.00,0.00,0.00,0.00,1.00,9.10,1.00,9.10,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2013.00,1.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2014.00,7.00,5.00,71.40,2.00,28.60,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2015.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2016.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2017.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,OTHER,2018.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,PROBE,1993.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,PROBE,1997.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,PUMA,1998.00,7.00,1.00,14.30,6.00,85.70,2.00,28.60,4.00,57.10,1.00,14.30,0.00,0.00,1.00,14.30,2.00,28.60,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,14.30,0.00,0.00,0.00,0.00
FORD,PUMA,1999.00,19.00,9.00,47.40,10.00,52.60,2.00,10.50,2.00,10.50,6.00,31.60,2.00,10.50,1.00,5.30,2.00,10.50,2.00,10.50,5.00,26.30,2.00,10.50,2.00,10.50,5.00,26.30,0.00,0.00,0.00,0.00,0.00,0.00
FORD,PUMA,2000.00,67.00,14.00,20.90,53.00,79.10,11.00,16.40,17.00,25.40,15.00,22.40,13.00,19.40,16.00,23.90,14.00,20.90,21.00,31.30,9.00,13.40,6.00,9.00,2.00,3.00,18.00,26.90,6.00,9.00,1.00,1.50,0.00,0.00
FORD,PUMA,2001.00,49.00,13.00,26.50,36.00,73.50,9.00,18.40,8.00,16.30,9.00,18.40,10.00,20.40,5.00,10.20,3.00,6.10,20.00,40.80,5.00,10.20,5.00,10.20,2.00,4.10,12.00,24.50,1.00,2.00,0.00,0.00,0.00,0.00
FORD,PUMA,2002.00,28.00,5.00,17.90,23.00,82.10,4.00,14.30,9.00,32.10,3.00,10.70,7.00,25.00,2.00,7.10,3.00,10.70,13.00,46.40,2.00,7.10,2.00,7.10,2.00,7.10,8.00,28.60,0.00,0.00,0.00,0.00,0.00,0.00
FORD,RANGER,2002.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,1.00,100.00,1.00,100.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SCORPIO,1991.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SCORPIO,1995.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SCORPIO,1996.00,7.00,5.00,71.40,2.00,28.60,1.00,14.30,2.00,28.60,0.00,0.00,1.00,14.30,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,14.30,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SCORPIO,1997.00,9.00,5.00,55.60,4.00,44.40,1.00,11.10,0.00,0.00,1.00,11.10,1.00,11.10,0.00,0.00,1.00,11.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,11.10,1.00,11.10,0.00,0.00,0.00,0.00
FORD,SCORPIO,1998.00,10.00,3.00,30.00,7.00,70.00,0.00,0.00,3.00,30.00,3.00,30.00,2.00,20.00,1.00,10.00,0.00,0.00,2.00,20.00,0.00,0.00,1.00,10.00,1.00,10.00,2.00,20.00,1.00,10.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1983.00,4.00,3.00,75.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1984.00,2.00,2.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1985.00,3.00,2.00,66.70,1.00,33.30,1.00,33.30,1.00,33.30,1.00,33.30,0.00,0.00,1.00,33.30,0.00,0.00,1.00,33.30,0.00,0.00,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1986.00,5.00,1.00,20.00,4.00,80.00,1.00,20.00,3.00,60.00,1.00,20.00,1.00,20.00,1.00,20.00,0.00,0.00,0.00,0.00,1.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1987.00,3.00,1.00,33.30,2.00,66.70,1.00,33.30,2.00,66.70,0.00,0.00,1.00,33.30,2.00,66.70,1.00,33.30,0.00,0.00,0.00,0.00,0.00,0.00,2.00,66.70,1.00,33.30,1.00,33.30,0.00,0.00,0.00,0.00
FORD,SIERRA,1988.00,8.00,4.00,50.00,4.00,50.00,0.00,0.00,1.00,12.50,0.00,0.00,1.00,12.50,0.00,0.00,1.00,12.50,1.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,12.50,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA,1989.00,16.00,10.00,62.50,6.00,37.50,2.00,12.50,2.00,12.50,0.00,0.00,1.00,6.30,1.00,6.30,3.00,18.80,2.00,12.50,0.00,0.00,0.00,0.00,1.00,6.30,2.00,12.50,1.00,6.30,0.00,0.00,0.00,0.00
FORD,SIERRA,1990.00,26.00,14.00,53.80,12.00,46.20,2.00,7.70,5.00,19.20,6.00,23.10,4.00,15.40,1.00,3.80,3.00,11.50,3.00,11.50,2.00,7.70,2.00,7.70,1.00,3.80,5.00,19.20,2.00,7.70,0.00,0.00,0.00,0.00
FORD,SIERRA,1991.00,27.00,9.00,33.30,18.00,66.70,6.00,22.20,6.00,22.20,8.00,29.60,4.00,14.80,5.00,18.50,3.00,11.10,8.00,29.60,6.00,22.20,2.00,7.40,2.00,7.40,4.00,14.80,7.00,25.90,0.00,0.00,0.00,0.00
FORD,SIERRA,1992.00,52.00,11.00,21.20,41.00,78.80,16.00,30.80,12.00,23.10,13.00,25.00,8.00,15.40,17.00,32.70,9.00,17.30,6.00,11.50,11.00,21.20,7.00,13.50,4.00,7.70,10.00,19.20,5.00,9.60,0.00,0.00,1.00,1.90
FORD,SIERRA,1993.00,16.00,6.00,37.50,10.00,62.50,3.00,18.80,3.00,18.80,6.00,37.50,5.00,31.30,6.00,37.50,2.00,12.50,0.00,0.00,4.00,25.00,1.00,6.30,2.00,12.50,4.00,25.00,1.00,6.30,0.00,0.00,0.00,0.00
FORD,SIERRA RS COSWORTH,1987.00,1.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,SIERRA RS COSWORTH RALLY 4DR,1993.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,S-MAX,2006.00,279.00,80.00,28.70,199.00,71.30,51.00,18.30,98.00,35.10,72.00,25.80,24.00,8.60,49.00,17.60,18.00,6.50,16.00,5.70,52.00,18.60,33.00,11.80,26.00,9.30,27.00,9.70,35.00,12.50,0.00,0.00,0.00,0.00
FORD,S-MAX,2007.00,916.00,328.00,35.80,588.00,64.20,122.00,13.30,267.00,29.10,179.00,19.50,61.00,6.70,136.00,14.80,46.00,5.00,33.00,3.60,147.00,16.00,79.00,8.60,76.00,8.30,69.00,7.50,112.00,12.20,1.00,0.10,0.00,0.00
FORD,S-MAX,2008.00,630.00,236.00,37.50,394.00,62.50,90.00,14.30,162.00,25.70,151.00,24.00,28.00,4.40,90.00,14.30,37.00,5.90,17.00,2.70,134.00,21.30,57.00,9.00,62.00,9.80,32.00,5.10,66.00,10.50,3.00,0.50,0.00,0.00
FORD,S-MAX,2009.00,161.00,72.00,44.70,89.00,55.30,18.00,11.20,39.00,24.20,33.00,20.50,3.00,1.90,18.00,11.20,9.00,5.60,5.00,3.10,26.00,16.10,17.00,10.60,14.00,8.70,3.00,1.90,19.00,11.80,1.00,0.60,0.00,0.00
FORD,S-MAX,2010.00,580.00,271.00,46.70,309.00,53.30,64.00,11.00,114.00,19.70,99.00,17.10,20.00,3.40,50.00,8.60,21.00,3.60,8.00,1.40,87.00,15.00,32.00,5.50,61.00,10.50,15.00,2.60,65.00,11.20,2.00,0.30,0.00,0.00
FORD,S-MAX,2011.00,150.00,71.00,47.30,79.00,52.70,11.00,7.30,26.00,17.30,26.00,17.30,2.00,1.30,16.00,10.70,11.00,7.30,1.00,0.70,29.00,19.30,4.00,2.70,16.00,10.70,1.00,0.70,1.00,0.70,0.00,0.00,0.00,0.00
FORD,S-MAX,2012.00,659.00,377.00,57.20,282.00,42.80,40.00,6.10,96.00,14.60,115.00,17.50,21.00,3.20,50.00,7.60,41.00,6.20,3.00,0.50,112.00,17.00,1.00,0.20,34.00,5.20,14.00,2.10,5.00,0.80,2.00,0.30,0.00,0.00
FORD,S-MAX,2013.00,95.00,60.00,63.20,35.00,36.80,9.00,9.50,9.00,9.50,12.00,12.60,4.00,4.20,6.00,6.30,2.00,2.10,1.00,1.10,11.00,11.60,0.00,0.00,5.00,5.30,3.00,3.20,1.00,1.10,0.00,0.00,0.00,0.00
FORD,S-MAX,2014.00,765.00,565.00,73.90,200.00,26.10,43.00,5.60,57.00,7.50,37.00,4.80,9.00,1.20,49.00,6.40,8.00,1.00,2.00,0.30,34.00,4.40,4.00,0.50,39.00,5.10,7.00,0.90,6.00,0.80,1.00,0.10,0.00,0.00
FORD,S-MAX,2015.00,37.00,27.00,73.00,10.00,27.00,4.00,10.80,3.00,8.10,0.00,0.00,0.00,0.00,1.00,2.70,0.00,0.00,1.00,2.70,0.00,0.00,0.00,0.00,4.00,10.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,S-MAX,2016.00,2.00,1.00,50.00,1.00,50.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,S-MAX 2.0 TDCI TITANIUM,2007.00,1.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
FORD,STREETKA,2003.00,4.00,0.00,0.00,4.00,100.00,3.00,75.00,2.00,50.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,1.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
